t/AU/n,['town']
m/oU/p,['mope']
t/I/N/kt,['tinct']
kr/u/T/,['crwth']
dr/Oi/S/,['drawish']
b/i/sk,['bisk']
/D/i/z,['these']
b/i/st,['beast']
gr/u/,['grew']
/oU/ZArm,['aux_armes']
h/oU/rd,"['hoard', 'horde']"
w/i/z,['wheeze']
v/AU/tS/,['vouch']
bArbYS,['barbusse']
k/@/t,['cut']
k/@/r,"['curr', 'cur', 'care']"
k/@/s,['cuss']
k/@/p,['cup']
k/@/z,['coz']
k/@/f,['cuff']
k/@/d,['cud']
k/@/b,['cub']
/S/w/O/rtz,['schwarz']
k/@/l,['cull']
k/@/m,"['cum', 'come']"
/S/w/O/rts,['schwartz']
h/E/ld,['held']
h/E/lm,['helm']
t/aI/,"['tie', 'thai', 'ty', 'tye']"
pAl/E/,['palais']
h/E/lv,['helve']
h/E/lp,['help']
w/i/t,['wheat']
/eI/m,['aim']
br/eI/s,['brace']
/Z/Akm/E/l,['jacmel']
g/E/st,['guest']
g/E/k,['geck']
f/aI/vz,['fives']
g/E/d,"['guesde', 'gedd', 'ged']"
g/E/b,['geb']
g/E/t,['get']
g/E/s,['guess']
gYd,['gude']
h/i/ld,"['heald', 'heeled']"
t/i/tS/,['teach']
l/E/m,"['lm', 'lem']"
l/E/n,['len']
tr/E/v,['treves']
gr/i/n,"['greene', 'green']"
l/E/k,['lek']
l/E/d,"['lead/n', 'led', 'lead']"
l/E/f,['lev']
l/E/g,['leg']
gr/i/d,['greed']
gr/i/f,['grief']
gr/i/g,['grieg']
tr/E/d,['tread']
gr/i/s,['grease/v']
l/E/t,"['let', 'lett']"
b/eI/D/,['bathe']
gr/i/s,"['gris', 'grease', 'grease/n', 'greece']"
gr/i/t,['greet']
gr/i/v,"['greave', 'grieve']"
l/E/s,['less']
/dZ/Oi/n,['join']
h/I/nt,['hint']
/dZ/Oi/s,['joyce']
b/AU/t,['bout']
b/AU/s,['bouse']
/j/O/rt,['hjort']
b/AU/n,"['boun', 'bown']"
g/&/T/,['gath']
h/A/rv,['harve']
s/i/D/,['seethe']
h/A/rp,['harp']
l/i/tS/,"['leach', 'leech']"
r/aI/ts,['rights']
dr/I/l,['drill']
dr/I/p,['drip']
h/A/rd,['hard']
h/A/rm,['harm']
h/A/rl,"['harl', 'harle']"
h/A/rk,['hark']
g/oU/d,['goad']
kl/I/N/,['cling']
g/oU/f,['goaf']
spl/A/S/,['splosh']
g/oU/l,['goal']
g/oU/r,['gore']
g/oU/t,['goat']
sp/&/N/k,['spank']
/tS/A/ps,['chops']
/O/ft,['oft']
d/I/dst,['didst']
r/oU/rk,['roark']
m/O/rn,['morn']
l/E/dZ/,['ledge']
f/O/lk,['volk']
f/O/ld,['fauld']
/tS/aI/ld,"['childe', 'child']"
sp/I/N/k,['spink']
hou/@/r,"[""howe'er""]"
r/O/,['raw']
h/E/st,['hest']
v/aI/vz,['vives']
str/@/t,['strut']
str/@/k,['struck']
str/@/m,['strum']
/@/r/dZ/,['urge']
bl/O/,['blaw']
t/eI/nt,['taint']
k/&/s,['cass']
sl/@/N/,['slung']
kl/E/ft,"['cleft', 'klepht']"
r/u/Z/,['rouge']
h/&/dZ/,"['hadj', 'hajj']"
p/@/rld,['pearled']
g/O/,['gaw']
h/&/S/,['hash']
/S/I/m,['shim']
m/O/nd,['maund']
r/I/p,['rip']
/S/I/n,['shin']
r/I/n,['rin']
/S/I/p,['ship']
r/I/l,['rill']
r/I/m,['rim']
r/I/k,"['wrick', 'rick']"
/S/I/v,"['chiv', 'shiv', 'sheave']"
r/I/f,['riff']
r/I/g,['rig']
r/I/d,['rid']
r/I/b,['rib']
sw/E/t,['sweat']
/dZ/oU/gz,['egan']
br/i/ks,['breeks']
sw/E/l,['swell']
bl/@/dZ/,['bludge']
gr/U/z,['groesz']
spl/I/nt,['splint']
t/AU/nz,['townes']
tr/u/D/z,['truths']
spr/E/d,['spread']
st/oU/nd,['stoned']
r/oU/j/s,['reuss']
r/i/p,['reap']
/S/I/k,['schick']
k/E/ks,['kex']
f/E/lps,['phelps']
sw/i/d,['swede']
sn/&/tS/,['snatch']
pr/eI/t,['prate']
d/oU/nt,"[""don't""]"
st/I/f,['stiff']
st/I/k,"['stick', 'stich']"
st/I/l,['still']
pr/eI/z,"['prase', 'praise']"
p/O/tA/Z/,['potage']
kr/@/tS/,['crutch']
st/&/nd,['stand']
st/E/l/T/,['stealth']
lAkl/oU/,['laclos']
l/aI/D/,['lithe']
/eI/eI/,['aye-aye']
gr/AU/s,['grouse']
/dZ/I/N/ks,['jinx']
/S/A/nt,"[""shan't""]"
m/&/ts,['mats']
sw/&/N/,['swang']
h/u/z,"['whose', ""who's""]"
h/u/p,"['whoop', 'hoop']"
h/u/t,"['hwt', 'hoot']"
/j/U/r,"[""you're"", 'your']"
h/u/l,"[""who'll""]"
h/u/m,['whom']
/j/U/d,['yod']
l/u/nz,['lunes']
/S/@/nt,"['sant', 'shunt']"
h/u/d,"[""who'd""]"
kl/&/mp,['clamp']
sl/@/mp,['slump']
br/Oi/l,['broil']
b/E/lt,['belt']
/j/O/O/f,['yaw_off']
h/A/rtstu/N/,"[""hart's-tongue""]"
w/E/l/T/,['wealth']
n/E/rnst,['nernst']
/T/@/d,['thud']
m/I/lk,['milk']
l/I/N/,['ling']
/S/I/t,['shit']
/T/@/m,['thumb']
/j/U/rt,['yurt']
/j/U/rn,"[""your'n""]"
m/I/lz,['mills']
sl/@/dZ/,['sludge']
sn/&/S/,['snash']
pAn/j/O/l,['pagnol']
b/I/ts,['bitts']
sk/O/ld,"['scald', 'scalled', 'skald']"
t/oU/,"['tow', 'toe']"
gl/A/st,['glost']
fAmfAtAl,"['femmes_fatales', 'femme_fatale']"
pl/eI/nt,['plaint']
v/O/n,"['vaughn', 'vaughan']"
m/&/skt,['masked']
w/@/rmz,['worms']
kr/E/pt,['crept']
kr/E/ps,['krebs']
sn/E/l,['snell']
fr/A/NS,['frans']
h/E/nt,['hent']
h/E/ns,['hence']
/T/r/I/ps,['thrips']
gl/u/,['glue']
m/@/r,"['murre', 'myrrh']"
m/@/s,['muss']
m/@/t,"['mut', 'mutt']"
m/@/z,['muzz']
m/@/d,['mud']
m/@/f,['muff']
m/@/g,['mug']
m/@/k,['muck']
m/@/l,['mull']
m/@/m,"['mum', 'mumm']"
w/eI/lz,"['whales', 'wales']"
/S/r/i/v,['shrieve']
h/@/nts,['hunts']
str/O/N/,['strong']
/S/r/i/k,['shriek']
h/u/,['who']
n/i/T/,['neath']
f/A/rS,['fars']
p/&/nt,['pant']
t/@/N/,"['tongue', 'tung']"
g/u/,['goo']
t/S/@/b,['chubb']
f/A/rs,['farce']
sk/aI/,"['sky', 'skye']"
f/A/rt,['fart']
f/A/rm,['farm']
f/A/rl,['farl']
f/eI/,"['fae', 'fay', 'phaye', 'fey']"
s/eI/eI/,['say_aye']
f/A/rd,['fard']
/oU/boil,"[""o'boyle""]"
v/A/st,['wast']
nArb/O/n,['narbonne']
tr/i/,['tree']
fl/I/tS/,['flitch']
spr/&/N/,['sprang']
fl/E/d,['fled']
/tS/A/rk,['chark']
/tS/A/rm,['charm']
fl/E/m,['phlegm']
/tS/A/rd,['chard']
fl/E/k,['fleck']
selAv/i/,"[""c'est_la_vie""]"
/T/r/aI/s,['thrice']
/T/r/aI/v,['thrive']
beg/@/rstik,"[""beggar's-tick""]"
/oU/ld,['old']
/S/Ar/A/Nt,['charente']
r/E/dZ/,['reg']
/@/r/T/,"['earth', 'airth']"
l/i/nd,['leaned']
/T/r/oU/,"['throw', 'throe']"
/T/r/E/S/,['thresh']
l/I/lt,['lilt']
gr/Oi/n,"['groyne', 'groin']"
l/i/nz,['lignes']
g/aI/z,['guise']
fl/i/,"['flea', 'flee']"
k/oU/ks,['coax']
fr/&/nz,['franz']
fr/&/ns,['france']
/i/ld,['eild']
kw/E/l,['quell']
pen/@/T/,"[""penn'orth""]"
k/A/rst,['karst']
vAl/A/Ns,['valence']
/tS/eI/n,['chain']
/tS/eI/p,['chape']
/tS/eI/s,['chase']
l/O/n/tS/,['launch']
/S/r/E/d,['shred']
w/E/pt,['wept']
s/O/N/,['song']
kr/I/ps,"['cripps', 'krips']"
kr/I/pt,['crypt']
/S/r/oU/v,['shrove']
pr/u/st,['proust']
str/Oi/,['stroy']
sp/I/n,['spin']
/E/ks,"['x', 'ex']"
p/A/,"['pah', 'pa', 'pas']"
m/I/lt/S/,['milch']
m/@/r/T/,['mirth']
dw/oU/rvz,['dwarves']
mAr/j/E/t,['mariette']
kl/O/O/f,['claw_off']
r/E/nz,['wrens']
tw/E/lf/T/,['twelfth']
m/AU/,['mowe']
spr/@/N/,['sprung']
/tS/E/st,['chest']
b/&/ts,['bats']
k/O/ld,"['cauld', 'called']"
/dZ/u/,['jew']
kw/I/tS/,['quitch']
k/E/g,['keg']
k/E/d,['ked']
k/E/k,['keck']
k/E/n,"['ken', 'kenn']"
k/E/p,['kep']
/i/dz,['eads']
kl/I/pt,"['clipped', 'clipt']"
h/aI/nd,['hind']
kr/E/mz,['cremes']
v/oU/Z/,['vosges']
b/u/T/,['booth']
kr/E/ms,['krems']
lw/i/s,['luis']
k/A/N/k,"['conch', 'conk']"
b/@/rst,['burst']
h/@/N/ks,['hunks']
pl/I/N/k,['plink']
g/Ou/,['gough']
sp/@/r/dZ/,['spurge']
fr/aI/,"['frey', 'fri', 'fry']"
/S/I/ft,['shift']
robinzeg,"[""robin's-egg_blue""]"
gYStAV,['gustave']
t/O/rsk,['torsk']
r/eI/s,"['race', 'reis']"
fr/A/N/k,['franck']
sk/i/t,"['skeat', 'skeet']"
sk/i/m,['scheme']
/@/rst,['erst']
d/O/k,"['dauk', 'dak', 'dawk']"
sk/i/d,['skied']
blWA,['blois']
/S/eI/k,"['sheikh', 'shake']"
/S/eI/m,['shame']
/S/eI/l,['shale']
/tS/I/ns,['chinse']
/S/eI/d,['shade']
/S/eI/f,['shaef']
/tS/eI/z,"['chaise', 'shays']"
/S/eI/p,['shape']
/S/eI/s,['schayes']
/S/eI/v,['shave']
dr/u/p,"['droop', 'drupe']"
dr/u/z,"['druse', 'druze']"
dr/u/b,['droob']
dr/u/l,['drool']
sp/A/t,['spot']
/tS/@/r/tS/,['church']
fl/eI/k,['flake']
fl/eI/m,['flame']
fl/eI/l,['flail']
/E/N/,['eng']
v/U/nt,['wundt']
gr/@/nt,"['granth', 'grunt', 'grunth']"
g/I/mp,['guimpe']
p/j/E/r/S/Arl,['pierre_charles']
gr/&/mps,['gramps']
plAsp/i/gAl,['place_pigalle']
kAf/eI/nwAr,['cafe_noir']
bAVArdA/Z/,['bavardage']
m/I/ng,['minnie']
sl/u/t,"['sloot', 'sluit']"
sl/u/s,['sluice']
sl/u/p,['sloop']
m/I/ns,['mince']
m/I/nt,['mint']
g/I/n,['gin']
g/I/l,"['gill', 'gil', 'ghyll']"
g/I/b,['gib']
b/O/r/S/,['borsch']
g/I/d,['gid']
r/A/t/S/,['rotch']
l/A/r/tS/,['larch']
g/I/v,['give']
g/I/t,['git']
skw/A/d,['squad']
n/oU/nz,['nones']
n/&/st,['nast']
p/u/tS/,['pooch']
sn/eI/D/,['snathe']
sm/O/l,['small']
h/Oi/st,['hoist']
l/I/b,['lib']
l/I/d,['lid']
/T/O/rn,"['thorn', 'thorne']"
l/I/k,['lick']
bl/A/nd,"['blonde', 'blond']"
l/I/m,"['limb', 'limn']"
l/I/n,"['linn', 'lin', 'lynn']"
fl/Oi/d,['floyd']
l/I/p,['lip']
l/I/t,['lit']
k/O/NtrAst,['contraste']
/T/O/rp,"['thorpe', 'thorp']"
fl/Oi/s,['floyce']
l/I/z,['liz']
/U/lm,['ulm']
m/AU/T/,"['mouth', 'mouth/n']"
p/AU/tS/t,['pouched']
dw/A/m,['dwalm']
f/I/st,['fist']
h/aI/nz,"['hines', 'heyns']"
/S/u/t,"['shoot', 'chute', 'shute']"
pl/eI/t,"['plate', 'plait']"
pl/eI/s,"['plaice', 'place']"
st/E/n/tS/,['stench']
str/U/k,['strook']
sk/E/g,['skeg']
/S/u/z,['choux']
pl/eI/g,['plague']
fl/O/n/tS/,['flaunch']
/S/u/l,['shool']
/S/u/n,['shoon']
g/u/t,['goutte']
g/u/s,"['goose', 'goes']"
bl/A/tS/,['blotch']
g/u/p,['goop']
g/u/n,['goon']
g/u/l,['ghoul']
/tS/Oi/s,['choice']
g/u/g,['goog']
g/u/f,['goof']
dr/aI/d,['dried']
fr/E/nd,['friend']
l/I/nts,['linz']
st/O/,['staw']
dr/aI/v,['drive']
